cvegeomun,nom_juri,cvegeojuri
"10020",DURANGO,"1001"
"10021",GÓMEZ PALACIO,"1002"
"10022",DURANGO,"1001"
"10023",DURANGO,"1001"
"10024",RODEO,"1004"
"10025",RODEO,"1004"
"10026",DURANGO,"1001"
"10027",GÓMEZ PALACIO,"1002"
"10028",RODEO,"1004"
"10029",GÓMEZ PALACIO,"1002"
"10030",GÓMEZ PALACIO,"1002"
"10031",GÓMEZ PALACIO,"1002"
"10032",SANTIAGO PAPASQUIARO,"1003"
"10033",DURANGO,"1001"
"10034",DURANGO,"1001"
"10035",SANTIAGO PAPASQUIARO,"1003"
"10036",GÓMEZ PALACIO,"1002"
"10037",SANTIAGO PAPASQUIARO,"1003"
"10038",DURANGO,"1001"
"10039",SANTIAGO PAPASQUIARO,"1003"
"11001",IRAPUATO,"1106"
"11002",ACÁMBARO,"1104"
"11003",SAN MIGUEL DE ALLENDE,"1102"
"11004",CELAYA,"1103"
"11005",CELAYA,"1103"
"11006",SAN MIGUEL DE ALLENDE,"1102"
"11007",CELAYA,"1103"
"11008",LEÓN DELTA,"1108"
"11009",CELAYA,"1103"
"11010",ACÁMBARO,"1104"
"11011",CELAYA,"1103"
"11012",IRAPUATO,"1106"
"11013",SAN MIGUEL DE ALLENDE,"1102"
"11014",GUANAJUATO,"1101"
"11015",GUANAJUATO,"1101"
"11016",IRAPUATO,"1106"
"11017",IRAPUATO,"1106"
"11018",SALAMANCA,"1105"
"11019",ACÁMBARO,"1104"
"11020",LEÓN DELTA,"1108"
"11021",SALAMANCA,"1105"
"11022",GUANAJUATO,"1101"
"11023",IRAPUATO,"1106"
"11024",IRAPUATO,"1106"
"11025",LEÓN DELTA,"1108"
"11026",LEÓN DELTA,"1108"
"11027",SALAMANCA,"1105"
"11028",ACÁMBARO,"1104"
"11029",GUANAJUATO,"1101"
"11030",GUANAJUATO,"1101"
"11031",LEÓN DELTA,"1108"
"11032",SAN MIGUEL DE ALLENDE,"1102"
"11033",SAN MIGUEL DE ALLENDE,"1102"
